job_id,title,company,district,trade,required_skills,salary_min,salary_max,source
1001,Junior CNC Lathe Operator,Tata Motors Tech,Pune,Advanced CNC Machinist,G-Code CNC Programming|Lathe Machine Calibration,22000,28000,National Career Service (NCS)
1002,Precision G-Code Machinist,Bharat Forge Ltd,Pune,Advanced CNC Machinist,G-Code CNC Programming|Lathe Machine Calibration,24000,30000,Apprenticeship India Portal
1003,Solar Array Installation Tech,Mahindra Susten,Pune,Solar PV Installer & Technician,Solar Panel Array Wiring|Grid Inverter Installation,25000,32000,NSDC Industry Connect
1004,Grid Inverter Commissioning Specialist,Adani Green Energy,Pune,Solar PV Installer & Technician,Solar Panel Array Wiring|Grid Inverter Installation,26000,34000,Direct Corporate Portal
1005,EV Lithium Battery Pack Assembly Tech,Ather Energy,Pune,EV Battery Maintenance Specialist,EV Lithium Pack Diagnostics|BMS Sensor Calibration,28000,35000,Apprenticeship India Portal
1006,BMS Calibration & Testing Engineer,Ola Electric,Pune,EV Battery Maintenance Specialist,EV Lithium Pack Diagnostics|BMS Sensor Calibration,30000,38000,National Career Service (NCS)
1007,CNC Turning Machine Setter,L&T Heavy Engineering,Pune,Advanced CNC Machinist,G-Code CNC Programming|Lathe Machine Calibration,23000,29000,NSDC Industry Connect
1008,Rooftop Solar PV Electrician,Suzlon Green Tech,Pune,Solar PV Installer & Technician,Solar Panel Array Wiring|Grid Inverter Installation,22000,27000,Apprenticeship India Portal
1009,EV Traction Battery Auditor,TVS Motor Company,Pune,EV Battery Maintenance Specialist,EV Lithium Pack Diagnostics|BMS Sensor Calibration,27000,33000,Direct Corporate Portal
1010,Multi-Axis CNC Programmer,Bosch India,Pune,Advanced CNC Machinist,G-Code CNC Programming|Lathe Machine Calibration,25000,32000,National Career Service (NCS)
1011,Commercial Solar Array Tech,Schneider Electric,Pune,Solar PV Installer & Technician,Solar Panel Array Wiring|Grid Inverter Installation,24000,30000,NSDC Industry Connect
1012,EV Cell Balancing Specialist,Reliance New Energy,Pune,EV Battery Maintenance Specialist,EV Lithium Pack Diagnostics|BMS Sensor Calibration,29000,36000,Apprenticeship India Portal
